stage,text,ipa,sound,target
1,needing,/ˈniː.dɪŋ/,n,
1,leading,/ˈliː.dɪŋ/,l,
1,nightly,/ˈnaɪt.li/,n,
1,lightly,/ˈlaɪt.li/,l,
2,needing,/ˈniː.dɪŋ/,n,
2,leading,/ˈliː.dɪŋ/,l,
2,nightly,/ˈnaɪt.li/,n,
2,lightly,/ˈlaɪt.li/,l,
2,nearly,/ˈnɪr.li/,n,
2,really,/ˈrɪr.li/,l,
2,nothing,/ˈnʌ.θɪŋ/,n,
2,learning,/ˈlɝː.nɪŋ/,l,
2,nervous,/ˈnɝː.vəs/,n,
2,lighter,/ˈlaɪ.tɚ/,l,
2,notice,/ˈnoʊ.tɪs/,n,
2,living,/ˈlɪ.vɪŋ/,l,
3,I am needing a break after a long day.,,n,needing
3,She is leading the group discussion today.,,l,leading
3,I watch the nightly news before I go to sleep.,,n,nightly
3,Tap the glass lightly so it does not break.,,l,lightly
3,I nearly forgot to bring my keys this morning.,,n,nearly
3,I really enjoyed the food at that new restaurant.,,l,really
3,Nothing can stop me from reaching my goal.,,n,nothing
3,I am learning how to cook simple meals at home.,,l,learning
3,She felt nervous before her job interview.,,n,nervous
3,Please use a lighter touch when you hold the baby.,,l,lighter
3,Did you notice the small change in his voice?,,n,notice
3,She has been living in this city for over ten years.,,l,living
3,I try to speak English every single day.,,l,daily
3,I am feeling much more confident than I was before.,,l,feeling
3,I used the leftover rice to make fried rice for lunch.,,l,leftover
